variant,region,pitch_mm,radii_mm,K,peb_median_m,peb_p95_m,peb_max_m,fraction_peb_1cm,fraction_peb_10cm,fraction_full_rank,minimum_visible_5sigma
pitch2,tile_core,2,"10,25",2,1.84415395972786,943.014900636901,1245.13461050339,0.36,0.36,1,0
pitch2,tile_ninth,2,"10,25",2,Inf,Inf,Inf,0.04,0.2,0.488,0
pitch2,tile_prism,2,"10,25",2,Inf,Inf,Inf,0.04,0.136,0.392,0
pitch2,tile_core,2,"11,12",2,0.481097759919425,2.66195168016459,3.46315269902007,0,0.04,1,1
pitch2,tile_ninth,2,"11,12",2,0.932876517038381,Inf,Inf,0,0.072,0.84,2
pitch2,tile_prism,2,"11,12",2,255.782599596701,Inf,Inf,0,0.008,0.744,0
pitch2,tile_core,2,"11,13",2,0.0527293908508493,1.66162128374496,2.19654043586829,0.144,0.584,1,1
pitch2,tile_ninth,2,"11,13",2,4.99399070500857,Inf,Inf,0.048,0.2,0.84,1
pitch2,tile_prism,2,"11,13",2,7669.58920043306,Inf,Inf,0.016,0.232,0.712,0
pitch2,tile_core,2,"11,15",2,0.00466125218146276,74.9847851464061,106.57957414092,0.84,0.84,1,1
pitch2,tile_ninth,2,"11,15",2,1053.25359439799,Inf,Inf,0.36,0.36,0.84,1
pitch2,tile_prism,2,"11,15",2,171307.684588998,Inf,Inf,0.264,0.296,0.68,0
pitch2,tile_core,2,"11,17",2,0.00669745821765193,15.689220406298,20.7108494685209,0.68,0.84,1,1
pitch2,tile_ninth,2,"11,17",2,20339.7110899621,Inf,Inf,0.36,0.36,0.52,1
pitch2,tile_prism,2,"11,17",2,Inf,Inf,Inf,0.232,0.264,0.456,0
pitch2,tile_core,2,"11,20",2,0.0672792472401831,13.4323973754278,17.5288336853693,0.36,0.584,1,0
pitch2,tile_ninth,2,"11,20",2,Inf,Inf,Inf,0.264,0.36,0.36,1
pitch2,tile_prism,2,"11,20",2,Inf,Inf,Inf,0.136,0.264,0.36,0
pitch2,tile_core,2,"11,25",2,1.13216875426826,136.449738222734,191.640565173099,0.36,0.36,1,0
pitch2,tile_ninth,2,"11,25",2,Inf,Inf,Inf,0.04,0.36,0.36,1
pitch2,tile_prism,2,"11,25",2,Inf,Inf,Inf,0.04,0.2,0.36,0
pitch2,tile_core,2,"12,13",2,0.0401605862355716,0.272574916003243,0.272574916003255,0.016,0.712,1,2
pitch2,tile_ninth,2,"12,13",2,20.1820970003352,Inf,Inf,0.048,0.2,0.84,1
pitch2,tile_prism,2,"12,13",2,587.174270625653,Inf,Inf,0.016,0.264,0.712,0
pitch2,tile_core,2,"12,15",2,0.00511804274983433,0.0801748784257124,0.102615128698445,0.84,0.968,1,2
pitch2,tile_ninth,2,"12,15",2,74.982321516314,Inf,Inf,0.36,0.36,0.84,1
pitch2,tile_prism,2,"12,15",2,7644.15218120695,Inf,Inf,0.232,0.328,0.648,0
pitch2,tile_core,2,"12,17",2,0.00551766377068919,0.0834232623522531,0.106707073836016,0.808,0.968,1,2
pitch2,tile_ninth,2,"12,17",2,985.191149248797,Inf,Inf,0.36,0.36,0.84,1
pitch2,tile_prism,2,"12,17",2,721720.000243061,Inf,Inf,0.232,0.296,0.648,0
pitch2,tile_core,2,"12,20",2,0.0295670656357106,2.37646808935333,3.03332263502911,0.36,0.84,1,1
pitch2,tile_ninth,2,"12,20",2,78529.7059435412,Inf,Inf,0.232,0.36,0.84,1
pitch2,tile_prism,2,"12,20",2,14601002276.3836,Inf,Inf,0.168,0.296,0.52,0
pitch2,tile_core,2,"12,25",2,0.34963158459534,3.31675015597441,4.29019473552332,0.36,0.36,1,1
pitch2,tile_ninth,2,"12,25",2,142917.605364527,Inf,Inf,0.136,0.36,0.52,1
pitch2,tile_prism,2,"12,25",2,Inf,Inf,Inf,0.104,0.2,0.456,0
pitch2,tile_core,2,"13,15",2,0.00945583146361079,0.358738540419189,0.45567290781306,0.584,0.84,1,2
pitch2,tile_ninth,2,"13,15",2,78.5215258894025,Inf,Inf,0.36,0.36,0.84,0
pitch2,tile_prism,2,"13,15",2,17558.0704571626,Inf,Inf,0.296,0.328,0.648,0
pitch2,tile_core,2,"13,17",2,0.00853591714270156,0.358948699798236,0.45594276380224,0.616,0.84,1,2
pitch2,tile_ninth,2,"13,17",2,1820.96551639367,Inf,Inf,0.36,0.36,0.84,0
pitch2,tile_prism,2,"13,17",2,1251140.04151051,Inf,Inf,0.264,0.328,0.648,0
pitch2,tile_core,2,"13,20",2,0.042039566553838,1.090043221351,1.3916635719109,0.36,0.776,1,1
pitch2,tile_ninth,2,"13,20",2,126040.590074252,Inf,Inf,0.264,0.36,0.84,0
pitch2,tile_prism,2,"13,20",2,434556783.498967,Inf,Inf,0.2,0.296,0.584,0
pitch2,tile_core,2,"13,25",2,0.56576085006376,3.51318403717087,4.55560344843902,0.36,0.36,1,1
pitch2,tile_ninth,2,"13,25",2,126132.221534454,Inf,Inf,0.232,0.36,0.52,0
pitch2,tile_prism,2,"13,25",2,Inf,Inf,Inf,0.136,0.264,0.456,0
pitch2,tile_core,2,"15,17",2,0.033948721732279,14.1097223936673,17.7774798204382,0.36,0.84,1,2
pitch2,tile_ninth,2,"15,17",2,8698.95927559825,Inf,Inf,0.36,0.36,0.84,0
pitch2,tile_prism,2,"15,17",2,17215380.0434673,Inf,Inf,0.2,0.296,0.616,0
pitch2,tile_core,2,"15,20",2,0.079309589440261,15.6561472350148,19.6748192637102,0.36,0.584,1,1
pitch2,tile_ninth,2,"15,20",2,380114.255044968,Inf,Inf,0.36,0.36,0.84,0
pitch2,tile_prism,2,"15,20",2,931320622.159718,Inf,Inf,0.232,0.264,0.552,0
pitch2,tile_core,2,"15,25",2,0.906750562950298,478.398271343377,595.973290986455,0.36,0.36,1,1
pitch2,tile_ninth,2,"15,25",2,715474.846843471,Inf,Inf,0.36,0.36,0.52,0
pitch2,tile_prism,2,"15,25",2,Inf,Inf,Inf,0.2,0.232,0.424,0
pitch2,tile_core,2,"17,20",2,0.222931715681642,396.592756468127,497.725665523848,0.36,0.36,1,1
pitch2,tile_ninth,2,"17,20",2,1546434.52054864,Inf,Inf,0.36,0.36,0.84,0
pitch2,tile_prism,2,"17,20",2,5022014732.75939,Inf,Inf,0.104,0.264,0.552,0
pitch2,tile_core,2,"17,25",2,2.00534123241498,8491.27794421666,10491.8685049873,0.36,0.36,1,1
pitch2,tile_ninth,2,"17,25",2,6648904.96440834,Inf,Inf,0.36,0.36,0.84,0
pitch2,tile_prism,2,"17,25",2,Inf,Inf,Inf,0.136,0.2,0.488,0
pitch2,tile_core,2,"20,25",2,5.25938533783564,34235.8679126393,42506.6116622819,0.36,0.36,1,0
pitch2,tile_ninth,2,"20,25",2,136758250.394186,Inf,Inf,0.104,0.36,0.84,0
pitch2,tile_prism,2,"20,25",2,Inf,Inf,Inf,0.04,0.2,0.488,0
pitch2,tile_core,2,"10,11,12,13,15,17,20,25",8,0.00335173303871814,0.100581847273825,0.129867893052009,0.808,0.936,1,4
pitch2,tile_ninth,2,"10,11,12,13,15,17,20,25",8,0.0763851326541752,Inf,Inf,0.36,0.552,0.84,2
pitch2,tile_prism,2,"10,11,12,13,15,17,20,25",8,303.127895661248,Inf,Inf,0.328,0.328,0.744,0
pitch2.25,tile_core,2.25,"10",1,Inf,Inf,Inf,0,0,0.192,0
pitch2.25,tile_ninth,2.25,"10",1,Inf,Inf,Inf,0,0,0,0
pitch2.25,tile_prism,2.25,"10",1,Inf,Inf,Inf,0,0,0.032,0
pitch2.25,tile_core,2.25,"11",1,7264.84409771367,Inf,Inf,0,0,0.84,0
pitch2.25,tile_ninth,2.25,"11",1,Inf,Inf,Inf,0,0,0.264,0
pitch2.25,tile_prism,2.25,"11",1,Inf,Inf,Inf,0,0,0.264,0
pitch2.25,tile_core,2.25,"12",1,20.8090922169573,4746.16973558557,6558.23827217864,0,0,1,0
pitch2.25,tile_ninth,2.25,"12",1,85924.8599294298,Inf,Inf,0,0,0.52,1
pitch2.25,tile_prism,2.25,"12",1,Inf,Inf,Inf,0,0,0.392,0
pitch2.25,tile_core,2.25,"13",1,1.055954629139,4.69792382584711,6.06855989423532,0,0.024,1,1
pitch2.25,tile_ninth,2.25,"13",1,10215.2496760577,Inf,Inf,0,0.056,0.52,1
pitch2.25,tile_prism,2.25,"13",1,Inf,Inf,Inf,0,0.056,0.488,0
pitch2.25,tile_core,2.25,"15",1,0.261555855128387,6.87949667715721,6.87949667715898,0.104,0.392,1,1
pitch2.25,tile_ninth,2.25,"15",1,14219.3587502639,Inf,Inf,0.2,0.36,0.52,0
pitch2.25,tile_prism,2.25,"15",1,Inf,Inf,Inf,0.072,0.264,0.456,0
pitch2.25,tile_core,2.25,"17",1,1.49034831267522,115.327911931571,143.638714802775,0.36,0.36,1,1
pitch2.25,tile_ninth,2.25,"17",1,102014.174232719,Inf,Inf,0.36,0.36,0.52,0
pitch2.25,tile_prism,2.25,"17",1,Inf,Inf,Inf,0.2,0.232,0.456,0
pitch2.25,tile_core,2.25,"20",1,3.79645308522736,18176.9992702816,22350.0315416114,0.36,0.36,1,1
