label,x,y,z,d_true,ang_GLS_deg,pos_GLS_m,d_GLS_m,ang_WLS_deg,pos_WLS_m,d_WLS_m,ang_NLS_deg,pos_NLS_m,d_NLS_m
P16.t2,0.2,-0.2,1,1.03923048454133,1.75568132906789,0.0357588651110928,1.05501958083156,1.99344194197612,0.0400916790878772,1.05593761303289,0.996608190311723,0.0220781346695391,1.05175074107889
P16.t3,0.2,-0.2,1,1.03923048454133,1.52756321930971,0.0309343632905579,1.05262497488823,1.75177820610924,0.0352653309383637,1.05405450919653,0.821004778316871,0.0172701782371868,1.04787142650127
P17.t1,0,-0.2,1,1.01980390271856,1.72044462305643,0.0346501230306669,1.03556765142398,1.96630311309662,0.0391903415499792,1.03685268318377,1.19726681470494,0.0247930789439515,1.03225578425384
P17.t2,0,-0.2,1,1.01980390271856,1.72359900516823,0.0347228977815668,1.03561547712726,1.96210057882801,0.0391490781857846,1.03691163294977,1.21135799121898,0.024998530946936,1.03223000538724
P17.t3,0,-0.2,1,1.01980390271856,2.09004885068247,0.0403153188738652,1.03468344776334,2.37820063498559,0.0453442105838938,1.03521493914175,1.50021520387976,0.0299624797848493,1.03305227533007
P18.t1,0,-0.4,1,1.0770329614269,1.69944974477705,0.0374304872552567,1.09607337588497,1.79844818625977,0.0396767229856811,1.09728022052407,0.644721352313017,0.0142903671116133,1.08453727622356
P18.t2,0,-0.4,1,1.0770329614269,1.70641108771304,0.0420308924013718,1.10372119123348,1.74850133012373,0.0441702963812226,1.10604503441875,0.75045824731047,0.0211005596736052,1.09263258639794
P18.t3,0,-0.4,1,1.0770329614269,1.57932520637375,0.0327470908292937,1.09045241876183,1.67493273730399,0.0349204940743643,1.0916862917346,0.595701659074996,0.0112152541054229,1.07760267865306
P19.t1,0.2,-0.4,1,1.09544511501033,1.46992432566412,0.0353487067536053,1.11652964161649,1.57689800063126,0.0380262767581953,1.11820935775506,0.602312859473735,0.0164137207014695,1.10708090694164
P19.t2,0.2,-0.4,1,1.09544511501033,1.33199625693222,0.0344316717995678,1.11832472143793,1.41878897489213,0.0370858561348052,1.12040139329738,0.533525094792621,0.0163659838868161,1.10819596545477
P19.t3,0.2,-0.4,1,1.09544511501033,1.22017667589922,0.032720553650885,1.11814205038898,1.29904220201012,0.0352633306643111,1.12019862865315,0.475801232483036,0.0149247796966848,1.10723938946952
P20.t1,0.2,-0.6,1,1.18321595661992,1.35806106417958,0.0507591617194726,1.22519315693856,1.30520399197656,0.0522572103408409,1.22767988288929,0.853721530311017,0.0373400961298072,1.21600088861745
P20.t2,0.2,-0.6,1,1.18321595661992,1.46260525881813,0.0379894849471774,1.20587607802732,1.46127175444818,0.0391381975354933,1.20775825864066,0.779401030386763,0.0212341562884922,1.19695721616271
P20.t3,0.2,-0.6,1,1.18321595661992,1.13221826234649,0.0248820773482652,1.19149943042428,1.13520700003121,0.0256645089543003,1.19343151893051,0.626329889196639,0.0131189243995705,1.18095083710199
P21.t1,0,-0.6,1,1.16619037896906,0.977397973342974,0.0248692543495843,1.18094564596859,0.803513720172346,0.0242440487272002,1.18397313978741,1.13944358030004,0.0232418829308986,1.1675036613104
P21.t2,0,-0.6,1,1.16619037896906,1.05281131622663,0.0223902494198142,1.15949870140798,1.06746077926294,0.0221989731462304,1.16142852764928,0.799854724056597,0.0243870676841572,1.14791900330266
P21.t3,0,-0.6,1,1.16619037896906,1.12685598007521,0.0238133400350714,1.15955478679059,1.11785223689176,0.023135888093398,1.16176679670004,0.874039098162198,0.025359979956954,1.14798077125654
P22.t1,0,-0.8,1,1.28062484748657,1.04580607868317,0.0234727343755375,1.2782569380429,1.04343407985625,0.0233206509578108,1.28038220670656,1.1588589669908,0.0270314173979242,1.27262430983066
P22.t2,0,-0.8,1,1.28062484748657,1.3468458056261,0.0449526158616892,1.31365791428876,1.30331078445395,0.0460828450777197,1.31600336922734,1.48366000526708,0.0433159625827483,1.30806729112487
P22.t3,0,-0.8,1,1.28062484748657,1.37638837669339,0.0442126476445118,1.31201267537012,1.31984064576209,0.0450818518613532,1.31437734895296,1.53386576236255,0.0431112025397777,1.30630961490515
P23.t1,0.2,-0.8,1,1.29614813968157,1.31192360067888,0.0519400361647981,1.33843599069817,1.35524641966026,0.0529421438351538,1.33894926609496,0.988653279662833,0.0412416094450037,1.33060645239827
P23.t2,0.2,-0.8,1,1.29614813968157,0.668857095477587,0.0160661388345049,1.30146227315732,0.670385732133333,0.0161729448711842,1.30167922441624,0.724471483725594,0.0168131696583455,1.29228997999645
P23.t3,0.2,-0.8,1,1.29614813968157,0.843052240726895,0.02508582820285,1.31230507625001,0.856044487446668,0.025593596254393,1.31273781418589,0.781105770924933,0.0190969206796231,1.30327167008521
P24.t1,0,-1,1,1.4142135623731,1.55224653415851,0.047966104063321,1.44255934817219,1.47046120863927,0.0475452822147691,1.44446463568453,1.76328436347542,0.0501421942976815,1.43845619158493
P24.t2,0,-1,1,1.4142135623731,1.31861663528236,0.0325495977477109,1.41324210845783,1.24372251833129,0.0307311583163961,1.41535001727652,1.50152942587016,0.037331607899713,1.40921262653842
P24.t3,0,-1,1,1.4142135623731,1.55375307038489,0.0389137082941806,1.42031581050751,1.46634907085201,0.0373133474111565,1.42283931483277,1.7025620367895,0.0421120489407253,1.41640786983512
P25.t1,-0.2,-1,1,1.42828568570857,2.20362734483103,0.0552070359090832,1.4328603982133,2.17586860999008,0.0544670157446853,1.43235672750038,2.16796899289184,0.0540450194100258,1.42602630279135
P25.t2,-0.2,-1,1,1.42828568570857,2.27781555624583,0.058396682481575,1.41345785059308,2.25080955971612,0.0579223868921567,1.41274693002778,2.18743480612038,0.0579271180250111,1.40765963397893
P25.t3,-0.2,-1,1,1.42828568570857,2.28645393643968,0.0576217441108545,1.43570940469548,2.24747640812596,0.0565607303057143,1.43505098922528,2.18194970333106,0.0544634673208591,1.43027999430155
P26.t1,-0.4,-1,1,1.46969384566991,3.07078119987831,0.0815644247789012,1.48889554962371,3.0649530039232,0.0809283610633909,1.48693915977579,2.70786813668318,0.0698886444196979,1.47601451808878
P26.t2,-0.4,-1,1,1.46969384566991,3.66019724444174,0.102492194302029,1.50794804104224,3.67658389548005,0.10197727901728,1.5056249466159,3.16213334898519,0.0866949604905398,1.49817352745213
P26.t3,-0.4,-1,1,1.46969384566991,3.52180274394618,0.091837102763032,1.48375331529896,3.5204652574677,0.0914482699487447,1.48169647227133,2.98213595997233,0.0768864887171082,1.47578850946662
P27.t1,-0.4,-1.2,1,1.61245154965971,4.35083885707295,0.133207956768444,1.66053671417264,4.35080260969001,0.132428667880271,1.65853845528999,3.69364212248196,0.111803101702163,1.65044909130708
P27.t2,-0.4,-1.2,1,1.61245154965971,4.66998669678041,0.237622601846499,1.8051642613056,4.67261732441829,0.237017448715444,1.80438270628456,4.26576694643911,0.214277793735861,1.78555055290344
P27.t3,-0.4,-1.2,1,1.61245154965971,3.14825725482575,0.0894650400804879,1.59729355184009,3.091834518113,0.0880511767684309,1.59634838668218,2.70307042342995,0.081881841762412,1.58029184327206
P28.t1,-0.2,-1.2,1,1.57480157480236,2.63424621764187,0.0744850951766653,1.59072877899141,2.57927213600271,0.0729940972792091,1.59069284144423,2.44579367108859,0.0681027716188374,1.58439845610577
P28.t2,-0.2,-1.2,1,1.57480157480236,2.45451123805198,0.0676913613133325,1.57915273502231,2.40605075201699,0.0663937380917463,1.57952314259654,2.34848337043218,0.0645649726553423,1.57138779879418
P28.t3,-0.2,-1.2,1,1.57480157480236,2.11625396427665,0.0581847881520765,1.57565008054242,2.04542306485344,0.0562628314601363,1.57629328322061,2.06954062489925,0.0572817783037849,1.56691780054901
P29.t1,-0.2,-1.2,0.9,1.64012194668567,2.09507088584784,0.0632189616074572,1.65906400324627,2.04681058011579,0.0622516281087933,1.66014245910027,2.11160291330975,0.0617979812981925,1.65192936705209
P29.t2,-0.2,-1.2,0.9,1.64012194668567,2.07187923182309,0.059311823786376,1.64043209338359,2.03607511135167,0.058290834797714,1.64058928694362,2.02444622536046,0.0581425446868262,1.63423485435187
P29.t3,-0.2,-1.2,0.9,1.64012194668567,2.32166222746169,0.0695668496046498,1.61815551091673,2.30138942563487,0.0691589870772932,1.61769636202472,2.18431904847861,0.0675429012146079,1.61335139594114
P30.t1,-0.4,-1.2,0.9,1.67630546142402,3.09467692768514,0.0916563128902572,1.68839204992228,3.06977263731969,0.0907496007984518,1.68720126740585,2.77609294481099,0.0811933628323006,1.67522554531054
