BaseIndex,HalfAngle_deg,FOV_deg,K,Pattern,Budget,RequiredArea_mm2,TotalSamples
259,60,70,5,golden_prefix,per_orientation,365.188526609022,5000
260,75,70,5,golden_prefix,per_orientation,426.552207961136,5000
261,15,75,5,golden_prefix,per_orientation,150306508.245768,5000
262,30,75,5,golden_prefix,per_orientation,1205.34130733707,5000
263,45,75,5,golden_prefix,per_orientation,399.874307900849,5000
264,60,75,5,golden_prefix,per_orientation,365.188526609022,5000
265,75,75,5,golden_prefix,per_orientation,426.552207961136,5000
266,15,85,5,golden_prefix,per_orientation,150306508.245768,5000
267,30,85,5,golden_prefix,per_orientation,1205.34130733707,5000
268,45,85,5,golden_prefix,per_orientation,399.874307900849,5000
269,60,85,5,golden_prefix,per_orientation,365.188526609022,5000
270,75,85,5,golden_prefix,per_orientation,426.552207961136,5000
271,15,45,9,golden_prefix,per_orientation,Inf,9000
272,30,45,9,golden_prefix,per_orientation,Inf,9000
273,45,45,9,golden_prefix,per_orientation,Inf,9000
274,60,45,9,golden_prefix,per_orientation,Inf,9000
275,75,45,9,golden_prefix,per_orientation,Inf,9000
276,15,60,9,golden_prefix,per_orientation,Inf,9000
277,30,60,9,golden_prefix,per_orientation,Inf,9000
278,45,60,9,golden_prefix,per_orientation,Inf,9000
279,60,60,9,golden_prefix,per_orientation,Inf,9000
280,75,60,9,golden_prefix,per_orientation,Inf,9000
281,15,65,9,golden_prefix,per_orientation,391760740.805295,9000
282,30,65,9,golden_prefix,per_orientation,1092.23735443629,9000
283,45,65,9,golden_prefix,per_orientation,296.842583799925,9000
284,60,65,9,golden_prefix,per_orientation,275.024294970579,9000
285,75,65,9,golden_prefix,per_orientation,317.943777139663,9000
286,15,70,9,golden_prefix,per_orientation,111242097.950866,9000
287,30,70,9,golden_prefix,per_orientation,891.100172942493,9000
288,45,70,9,golden_prefix,per_orientation,296.842583799925,9000
289,60,70,9,golden_prefix,per_orientation,270.165442361344,9000
290,75,70,9,golden_prefix,per_orientation,314.611984688427,9000
291,15,75,9,golden_prefix,per_orientation,111242097.950866,9000
292,30,75,9,golden_prefix,per_orientation,891.100172942493,9000
293,45,75,9,golden_prefix,per_orientation,296.842583799925,9000
294,60,75,9,golden_prefix,per_orientation,270.165442361344,9000
295,75,75,9,golden_prefix,per_orientation,314.611984688427,9000
296,15,85,9,golden_prefix,per_orientation,111242097.950866,9000
297,30,85,9,golden_prefix,per_orientation,891.100172942493,9000
298,45,85,9,golden_prefix,per_orientation,296.842583799925,9000
299,60,85,9,golden_prefix,per_orientation,270.165442361344,9000
300,75,85,9,golden_prefix,per_orientation,314.611984688427,9000
301,15,45,15,golden_prefix,per_orientation,Inf,15000
302,30,45,15,golden_prefix,per_orientation,Inf,15000
303,45,45,15,golden_prefix,per_orientation,Inf,15000
304,60,45,15,golden_prefix,per_orientation,Inf,15000
305,75,45,15,golden_prefix,per_orientation,Inf,15000
306,15,60,15,golden_prefix,per_orientation,Inf,15000
307,30,60,15,golden_prefix,per_orientation,Inf,15000
308,45,60,15,golden_prefix,per_orientation,Inf,15000
309,60,60,15,golden_prefix,per_orientation,Inf,15000
310,75,60,15,golden_prefix,per_orientation,Inf,15000
311,15,65,15,golden_prefix,per_orientation,300015033.286311,15000
312,30,65,15,golden_prefix,per_orientation,831.450012767659,15000
313,45,65,15,golden_prefix,per_orientation,227.819536590784,15000
314,60,65,15,golden_prefix,per_orientation,209.211413193639,15000
315,75,65,15,golden_prefix,per_orientation,245.342284045643,15000
316,15,70,15,golden_prefix,per_orientation,86030807.3465856,15000
