BaseIndex,HalfAngle_deg,FOV_deg,K,Pattern,Budget,RequiredArea_mm2,TotalSamples,Area_mm2,RMS_full_cm,RMS_conditional_cm,Worst_cm,RegularCoverage_percent,TargetCoverage_percent,Feasible
16,15,70,3,uniform_cone,per_orientation,191112927.977673,3000,50,7644517.11910692,7644517.11910692,125466450.547535,100,6.67793744716822,0
16,15,70,3,uniform_cone,per_orientation,191112927.977673,3000,75.4,5069308.43442103,5069308.43442103,83200564.0235642,100,11.7497886728656,0
16,15,70,3,uniform_cone,per_orientation,191112927.977673,3000,100,3822258.55955346,3822258.55955346,62733225.2737674,100,11.7497886728656,0
16,15,70,3,uniform_cone,per_orientation,191112927.977673,3000,150,2548172.37303564,2548172.37303564,41822150.1825116,100,14.792899408284,0
17,30,70,3,uniform_cone,per_orientation,1531.77220514554,3000,25,72.7515244276458,72.7515244276458,650.207351069971,100,3.63482671174979,0
17,30,70,3,uniform_cone,per_orientation,1531.77220514554,3000,50,36.3757622138229,36.3757622138229,325.103675534985,100,9.5519864750634,0
17,30,70,3,uniform_cone,per_orientation,1531.77220514554,3000,75.4,24.121858231978,24.121858231978,215.585991734075,100,15.0464919695689,0
17,30,70,3,uniform_cone,per_orientation,1531.77220514554,3000,100,18.1878811069114,18.1878811069114,162.551837767493,100,21.2172442941674,0
17,30,70,3,uniform_cone,per_orientation,1531.77220514554,3000,150,12.1252540712743,12.1252540712743,108.367891844995,100,33.0515638207946,0
18,45,70,3,uniform_cone,per_orientation,513.579670054111,3000,25,21.6311175081944,21.6311175081944,69.6087204547316,100,2.53592561284869,0
18,45,70,3,uniform_cone,per_orientation,513.579670054111,3000,50,10.8155587540972,10.8155587540972,34.8043602273658,100,8.70667793744717,0
18,45,70,3,uniform_cone,per_orientation,513.579670054111,3000,75.4,7.17212118971961,7.17212118971961,23.0798144743805,100,13.8630600169062,0
18,45,70,3,uniform_cone,per_orientation,513.579670054111,3000,100,5.40777937704859,5.40777937704859,17.4021801136829,100,21.3863060016906,0
18,45,70,3,uniform_cone,per_orientation,513.579670054111,3000,150,3.60518625136573,3.60518625136573,11.6014534091219,100,34.6576500422654,0
19,60,70,3,uniform_cone,per_orientation,464.533583750488,3000,25,21.3346173906445,21.3346173906445,55.3015526709874,100,1.0989010989011,0
19,60,70,3,uniform_cone,per_orientation,464.533583750488,3000,50,10.6673086953222,10.6673086953222,27.6507763354937,100,5.57903634826712,0
19,60,70,3,uniform_cone,per_orientation,464.533583750488,3000,75.4,7.07381213217655,7.07381213217655,18.3360585779136,100,11.0735418427726,0
19,60,70,3,uniform_cone,per_orientation,464.533583750488,3000,100,5.33365434766112,5.33365434766112,13.8253881677469,100,18.2586644125106,0
19,60,70,3,uniform_cone,per_orientation,464.533583750488,3000,150,3.55576956510741,3.55576956510741,9.21692544516457,100,31.8681318681319,0
20,75,70,3,uniform_cone,per_orientation,540.501795769431,3000,25,24.0099949632579,24.0099949632579,61.1292881584042,100,0.760777683854607,0
20,75,70,3,uniform_cone,per_orientation,540.501795769431,3000,50,12.004997481629,12.004997481629,30.5646440792021,100,4.22654268808115,0
20,75,70,3,uniform_cone,per_orientation,540.501795769431,3000,75.4,7.96087366155767,7.96087366155767,20.268331617508,100,9.04480135249366,0
20,75,70,3,uniform_cone,per_orientation,540.501795769431,3000,100,6.00249874081449,6.00249874081449,15.282322039601,100,14.4547759932375,0
20,75,70,3,uniform_cone,per_orientation,540.501795769431,3000,150,4.00166582720966,4.00166582720966,10.1882146930674,100,27.3879966187658,0
21,15,75,3,uniform_cone,per_orientation,191112927.977673,3000,25,15289034.2382138,15289034.2382138,250932901.09507,100,3.97295012679628,0
21,15,75,3,uniform_cone,per_orientation,191112927.977673,3000,50,7644517.11910692,7644517.11910692,125466450.547535,100,6.67793744716822,0
21,15,75,3,uniform_cone,per_orientation,191112927.977673,3000,75.4,5069308.43442103,5069308.43442103,83200564.0235642,100,11.7497886728656,0
21,15,75,3,uniform_cone,per_orientation,191112927.977673,3000,100,3822258.55955346,3822258.55955346,62733225.2737674,100,11.7497886728656,0
21,15,75,3,uniform_cone,per_orientation,191112927.977673,3000,150,2548172.37303564,2548172.37303564,41822150.1825116,100,14.792899408284,0
22,30,75,3,uniform_cone,per_orientation,1531.77220514554,3000,25,72.7515244276458,72.7515244276458,650.207351069971,100,3.63482671174979,0
22,30,75,3,uniform_cone,per_orientation,1531.77220514554,3000,50,36.3757622138229,36.3757622138229,325.103675534985,100,9.5519864750634,0
22,30,75,3,uniform_cone,per_orientation,1531.77220514554,3000,75.4,24.121858231978,24.121858231978,215.585991734075,100,15.0464919695689,0
22,30,75,3,uniform_cone,per_orientation,1531.77220514554,3000,100,18.1878811069114,18.1878811069114,162.551837767493,100,21.2172442941674,0
22,30,75,3,uniform_cone,per_orientation,1531.77220514554,3000,150,12.1252540712743,12.1252540712743,108.367891844995,100,33.0515638207946,0
23,45,75,3,uniform_cone,per_orientation,513.579670054111,3000,25,21.6311175081944,21.6311175081944,69.6087204547316,100,2.53592561284869,0
23,45,75,3,uniform_cone,per_orientation,513.579670054111,3000,50,10.8155587540972,10.8155587540972,34.8043602273658,100,8.70667793744717,0
23,45,75,3,uniform_cone,per_orientation,513.579670054111,3000,75.4,7.17212118971961,7.17212118971961,23.0798144743805,100,13.8630600169062,0
23,45,75,3,uniform_cone,per_orientation,513.579670054111,3000,100,5.40777937704859,5.40777937704859,17.4021801136829,100,21.3863060016906,0
23,45,75,3,uniform_cone,per_orientation,513.579670054111,3000,150,3.60518625136573,3.60518625136573,11.6014534091219,100,34.6576500422654,0
24,60,75,3,uniform_cone,per_orientation,464.533583750488,3000,25,21.3346173906445,21.3346173906445,55.3015526709874,100,1.0989010989011,0
24,60,75,3,uniform_cone,per_orientation,464.533583750488,3000,50,10.6673086953222,10.6673086953222,27.6507763354937,100,5.57903634826712,0
24,60,75,3,uniform_cone,per_orientation,464.533583750488,3000,75.4,7.07381213217655,7.07381213217655,18.3360585779136,100,11.0735418427726,0
24,60,75,3,uniform_cone,per_orientation,464.533583750488,3000,100,5.33365434766112,5.33365434766112,13.8253881677469,100,18.2586644125106,0
24,60,75,3,uniform_cone,per_orientation,464.533583750488,3000,150,3.55576956510741,3.55576956510741,9.21692544516457,100,31.8681318681319,0
25,75,75,3,uniform_cone,per_orientation,540.501795769431,3000,25,24.0099949632579,24.0099949632579,61.1292881584042,100,0.760777683854607,0
25,75,75,3,uniform_cone,per_orientation,540.501795769431,3000,50,12.004997481629,12.004997481629,30.5646440792021,100,4.22654268808115,0
25,75,75,3,uniform_cone,per_orientation,540.501795769431,3000,75.4,7.96087366155767,7.96087366155767,20.268331617508,100,9.04480135249366,0
25,75,75,3,uniform_cone,per_orientation,540.501795769431,3000,100,6.00249874081449,6.00249874081449,15.282322039601,100,14.4547759932375,0
25,75,75,3,uniform_cone,per_orientation,540.501795769431,3000,150,4.00166582720966,4.00166582720966,10.1882146930674,100,27.3879966187658,0
26,15,85,3,uniform_cone,per_orientation,191112927.977673,3000,25,15289034.2382138,15289034.2382138,250932901.09507,100,3.97295012679628,0
26,15,85,3,uniform_cone,per_orientation,191112927.977673,3000,50,7644517.11910692,7644517.11910692,125466450.547535,100,6.67793744716822,0
26,15,85,3,uniform_cone,per_orientation,191112927.977673,3000,75.4,5069308.43442103,5069308.43442103,83200564.0235642,100,11.7497886728656,0
26,15,85,3,uniform_cone,per_orientation,191112927.977673,3000,100,3822258.55955346,3822258.55955346,62733225.2737674,100,11.7497886728656,0
26,15,85,3,uniform_cone,per_orientation,191112927.977673,3000,150,2548172.37303564,2548172.37303564,41822150.1825116,100,14.792899408284,0
27,30,85,3,uniform_cone,per_orientation,1531.77220514554,3000,25,72.7515244276458,72.7515244276458,650.207351069971,100,3.63482671174979,0
27,30,85,3,uniform_cone,per_orientation,1531.77220514554,3000,50,36.3757622138229,36.3757622138229,325.103675534985,100,9.5519864750634,0
27,30,85,3,uniform_cone,per_orientation,1531.77220514554,3000,75.4,24.121858231978,24.121858231978,215.585991734075,100,15.0464919695689,0
27,30,85,3,uniform_cone,per_orientation,1531.77220514554,3000,100,18.1878811069114,18.1878811069114,162.551837767493,100,21.2172442941674,0
27,30,85,3,uniform_cone,per_orientation,1531.77220514554,3000,150,12.1252540712743,12.1252540712743,108.367891844995,100,33.0515638207946,0
28,45,85,3,uniform_cone,per_orientation,513.579670054111,3000,25,21.6311175081944,21.6311175081944,69.6087204547316,100,2.53592561284869,0
28,45,85,3,uniform_cone,per_orientation,513.579670054111,3000,50,10.8155587540972,10.8155587540972,34.8043602273658,100,8.70667793744717,0
28,45,85,3,uniform_cone,per_orientation,513.579670054111,3000,75.4,7.17212118971961,7.17212118971961,23.0798144743805,100,13.8630600169062,0
28,45,85,3,uniform_cone,per_orientation,513.579670054111,3000,100,5.40777937704859,5.40777937704859,17.4021801136829,100,21.3863060016906,0
28,45,85,3,uniform_cone,per_orientation,513.579670054111,3000,150,3.60518625136573,3.60518625136573,11.6014534091219,100,34.6576500422654,0
29,60,85,3,uniform_cone,per_orientation,464.533583750488,3000,25,21.3346173906445,21.3346173906445,55.3015526709874,100,1.0989010989011,0
29,60,85,3,uniform_cone,per_orientation,464.533583750488,3000,50,10.6673086953222,10.6673086953222,27.6507763354937,100,5.57903634826712,0
29,60,85,3,uniform_cone,per_orientation,464.533583750488,3000,75.4,7.07381213217655,7.07381213217655,18.3360585779136,100,11.0735418427726,0
29,60,85,3,uniform_cone,per_orientation,464.533583750488,3000,100,5.33365434766112,5.33365434766112,13.8253881677469,100,18.2586644125106,0
29,60,85,3,uniform_cone,per_orientation,464.533583750488,3000,150,3.55576956510741,3.55576956510741,9.21692544516457,100,31.8681318681319,0
30,75,85,3,uniform_cone,per_orientation,540.501795769431,3000,25,24.0099949632579,24.0099949632579,61.1292881584042,100,0.760777683854607,0
30,75,85,3,uniform_cone,per_orientation,540.501795769431,3000,50,12.004997481629,12.004997481629,30.5646440792021,100,4.22654268808115,0
30,75,85,3,uniform_cone,per_orientation,540.501795769431,3000,75.4,7.96087366155767,7.96087366155767,20.268331617508,100,9.04480135249366,0
30,75,85,3,uniform_cone,per_orientation,540.501795769431,3000,100,6.00249874081449,6.00249874081449,15.282322039601,100,14.4547759932375,0
30,75,85,3,uniform_cone,per_orientation,540.501795769431,3000,150,4.00166582720966,4.00166582720966,10.1882146930674,100,27.3879966187658,0
31,15,45,5,uniform_cone,per_orientation,Inf,5000,25,Inf,3139.57597600056,Inf,74.218089602705,4.64919695688926,0
31,15,45,5,uniform_cone,per_orientation,Inf,5000,50,Inf,1569.78798800028,Inf,74.218089602705,9.72104818258664,0
31,15,45,5,uniform_cone,per_orientation,Inf,5000,75.4,Inf,1040.97346684369,Inf,74.218089602705,11.7497886728656,0
31,15,45,5,uniform_cone,per_orientation,Inf,5000,100,Inf,784.89399400014,Inf,74.218089602705,13.7785291631445,0
31,15,45,5,uniform_cone,per_orientation,Inf,5000,150,Inf,523.26266266676,Inf,74.218089602705,17.497886728656,0
32,30,45,5,uniform_cone,per_orientation,Inf,5000,25,Inf,27.8523306022284,Inf,74.218089602705,5.07185122569738,0
32,30,45,5,uniform_cone,per_orientation,Inf,5000,50,Inf,13.9261653011142,Inf,74.218089602705,13.6939983093829,0
32,30,45,5,uniform_cone,per_orientation,Inf,5000,75.4,Inf,9.23485762673357,Inf,74.218089602705,20.7100591715976,0
32,30,45,5,uniform_cone,per_orientation,Inf,5000,100,Inf,6.96308265055711,Inf,74.218089602705,28.6559594251902,0
32,30,45,5,uniform_cone,per_orientation,Inf,5000,150,Inf,4.64205510037141,Inf,74.218089602705,38.123415046492,0
33,45,45,5,uniform_cone,per_orientation,Inf,5000,25,Inf,17.4305849578527,Inf,74.218089602705,3.88841927303466,0
33,45,45,5,uniform_cone,per_orientation,Inf,5000,50,Inf,8.71529247892635,Inf,74.218089602705,10.8199492814877,0
33,45,45,5,uniform_cone,per_orientation,Inf,5000,75.4,Inf,5.77937167037556,Inf,74.218089602705,18.6813186813187,0
33,45,45,5,uniform_cone,per_orientation,Inf,5000,100,Inf,4.35764623946317,Inf,74.218089602705,24.5139475908707,0
33,45,45,5,uniform_cone,per_orientation,Inf,5000,150,Inf,2.90509749297545,Inf,74.218089602705,38.8841927303466,0
34,60,45,5,uniform_cone,per_orientation,Inf,5000,25,Inf,18.5625182470242,Inf,74.218089602705,2.1978021978022,0
34,60,45,5,uniform_cone,per_orientation,Inf,5000,50,Inf,9.2812591235121,Inf,74.218089602705,8.03043110735418,0
34,60,45,5,uniform_cone,per_orientation,Inf,5000,75.4,Inf,6.15468111638733,Inf,74.218089602705,15.2155536770921,0
34,60,45,5,uniform_cone,per_orientation,Inf,5000,100,Inf,4.64062956175605,Inf,74.218089602705,20.0338123415046,0
34,60,45,5,uniform_cone,per_orientation,Inf,5000,150,Inf,3.0937530411707,Inf,74.218089602705,32.0371935756551,0
35,75,45,5,uniform_cone,per_orientation,Inf,5000,25,Inf,21.237674973873,Inf,74.218089602705,1.77514792899408,0
35,75,45,5,uniform_cone,per_orientation,Inf,5000,50,Inf,10.6188374869365,Inf,74.218089602705,6.2552831783601,0
35,75,45,5,uniform_cone,per_orientation,Inf,5000,75.4,Inf,7.04166942104541,Inf,74.218089602705,11.4116652578191,0
35,75,45,5,uniform_cone,per_orientation,Inf,5000,100,Inf,5.30941874346824,Inf,74.218089602705,16.2299239222316,0
35,75,45,5,uniform_cone,per_orientation,Inf,5000,150,Inf,3.53961249564549,Inf,74.218089602705,25.8664412510566,0
36,15,60,5,uniform_cone,per_orientation,Inf,5000,25,Inf,1054991.01894801,Inf,97.8021978021978,4.64919695688926,0
