Angular_Displacement_Degrees,Relative_Intensity_Percent
-72.4390243902439,4.016064257028118
-72.4390243902439,3.4136546184738936
-72.23946784922396,3.6144578313253017
-72.23946784922396,3.4136546184738936
-72.23946784922396,3.81526104417671
-72.23946784922396,4.016064257028118
-72.03991130820398,4.216867469879515
-72.03991130820398,3.6144578313253017
-72.03991130820398,3.4136546184738936
-72.03991130820398,3.81526104417671
-72.03991130820398,4.016064257028118
-71.84035476718404,4.016064257028118
-71.84035476718404,4.216867469879515
-71.84035476718404,3.4136546184738936
-71.84035476718404,3.6144578313253017
-71.84035476718404,3.81526104417671
-71.64079822616408,4.016064257028118
-71.64079822616408,3.81526104417671
-71.64079822616408,3.6144578313253017
-71.64079822616408,4.216867469879515
-71.44124168514412,4.216867469879515
-71.44124168514412,4.016064257028118
-71.44124168514412,3.81526104417671
-71.44124168514412,3.6144578313253017
-71.24168514412418,4.016064257028118
-71.24168514412418,4.216867469879515
-71.24168514412418,3.81526104417671
-71.24168514412418,4.417670682730924
-71.24168514412418,3.6144578313253017
-71.04212860310422,3.81526104417671
-71.04212860310422,4.417670682730924
-71.04212860310422,3.6144578313253017
-71.04212860310422,4.016064257028118
-71.04212860310422,4.216867469879515
-70.84257206208426,4.417670682730924
-70.84257206208426,3.81526104417671
-70.84257206208426,4.016064257028118
-70.84257206208426,4.216867469879515
-70.6430155210643,4.016064257028118
-70.6430155210643,4.618473895582332
-70.6430155210643,3.81526104417671
-70.6430155210643,4.417670682730924
-70.6430155210643,4.216867469879515
-70.44345898004434,4.216867469879515
-70.44345898004434,4.618473895582332
-70.44345898004434,4.016064257028118
-70.44345898004434,4.417670682730924
-70.44345898004434,3.81526104417671
-70.2439024390244,4.216867469879515
-70.2439024390244,4.016064257028118
-70.2439024390244,4.618473895582332
-70.2439024390244,4.417670682730924
-70.04434589800444,4.216867469879515
-70.04434589800444,4.618473895582332
-70.04434589800444,4.016064257028118
-70.04434589800444,4.417670682730924
-70.04434589800444,4.81927710843374
-69.84478935698448,4.016064257028118
-69.84478935698448,4.618473895582332
-69.84478935698448,4.81927710843374
-69.84478935698448,4.417670682730924
-69.84478935698448,4.216867469879515
-69.64523281596452,4.417670682730924
-69.64523281596452,4.618473895582332
-69.64523281596452,4.81927710843374
-69.64523281596452,4.216867469879515
-69.44567627494456,4.81927710843374
-69.44567627494456,4.618473895582332
-69.44567627494456,4.417670682730924
-69.44567627494456,4.216867469879515
-69.24611973392462,5.020080321285136
-69.24611973392462,4.216867469879515
-69.24611973392462,4.81927710843374
-69.24611973392462,4.417670682730924
-69.24611973392462,4.618473895582332
-69.04656319290466,4.417670682730924
-69.04656319290466,4.618473895582332
-69.04656319290466,4.216867469879515
-69.04656319290466,4.81927710843374
-69.04656319290466,5.020080321285136
-68.8470066518847,4.417670682730924
-68.8470066518847,5.020080321285136
-68.8470066518847,4.81927710843374
-68.8470066518847,4.618473895582332
-68.64745011086475,4.81927710843374
-68.64745011086475,4.618473895582332
-68.64745011086475,4.417670682730924
-68.64745011086475,5.020080321285136
-68.4478935698448,4.618473895582332
-68.4478935698448,4.81927710843374
-68.4478935698448,5.020080321285136
-68.4478935698448,4.417670682730924
-68.4478935698448,5.2208835341365445
-68.24833702882484,5.2208835341365445
-68.24833702882484,5.020080321285136
-68.24833702882484,4.81927710843374
-68.24833702882484,4.618473895582332
-68.24833702882484,4.417670682730924
-68.04878048780488,4.81927710843374
-68.04878048780488,5.2208835341365445
-68.04878048780488,4.618473895582332
-68.04878048780488,5.020080321285136
-67.84922394678492,4.618473895582332
-67.84922394678492,5.020080321285136
-67.84922394678492,5.2208835341365445
-67.84922394678492,4.81927710843374
-67.64966740576497,4.618473895582332
-67.64966740576497,5.020080321285136
-67.64966740576497,5.2208835341365445
