sample_id,x,y,z,inclinacion,azimuth,mean,median
20251218_134033_36,0.82,0.8,0.8,57,179,0.025521078319,0.0254559
20251218_134033_36,0.82,0.8,0.8,58,272,0.0358841108,0.0359848
20251218_134033_36,0.82,0.8,0.8,58,360,0.194711838,0.194905
20251218_134033_37,0.62,0.8,0.8,0,0,3.51631263,3.51893
20251218_134033_37,0.62,0.8,0.8,34,182,3.36964454,3.378595
20251218_134033_37,0.62,0.8,0.8,37,267,3.390814,3.38518
20251218_134033_37,0.62,0.8,0.8,37,355,3.52614672,3.54015
20251218_134033_37,0.62,0.8,0.8,42,78,3.12878287,3.102705
20251218_134033_37,0.62,0.8,0.8,53,97,3.38394318,3.39998
20251218_134033_37,0.62,0.8,0.8,57,179,3.39488653,3.39307
20251218_134033_37,0.62,0.8,0.8,58,272,0.032719851,0.0326945
20251218_134033_37,0.62,0.8,0.8,58,360,3.54985583,3.554795
20251218_134033_38,0.62,1,0.8,0,0,0.206402203,0.206421
20251218_134033_38,0.62,1,0.8,34,182,0.03784280966,0.0376299
20251218_134033_38,0.62,1,0.8,37,267,0.0533215582999999,0.0530942
20251218_134033_38,0.62,1,0.8,37,355,0.248149227,0.248207
20251218_134033_38,0.62,1,0.8,42,78,0.171590377,0.171544
20251218_134033_38,0.62,1,0.8,53,97,0.0731197803,0.0728358
20251218_134033_38,0.62,1,0.8,57,179,0.02560530644,0.0254559
20251218_134033_38,0.62,1,0.8,58,272,0.0329643172,0.0326945
20251218_134033_38,0.62,1,0.8,58,360,0.195732425,0.195892
20251218_134033_39,0.62,1,0.6,0,0,0.206435768,0.206421
20251218_134033_39,0.62,1,0.6,34,182,0.03775265716,0.0376299
20251218_134033_39,0.62,1,0.6,37,267,0.053427175,0.0530942
20251218_134033_39,0.62,1,0.6,37,355,0.247615546,0.247549
20251218_134033_39,0.62,1,0.6,42,78,0.171611777,0.171544
20251218_134033_39,0.62,1,0.6,53,97,0.0730454203,0.0731649
20251218_134033_39,0.62,1,0.6,57,179,0.025811609107,0.025785
20251218_134033_39,0.62,1,0.6,58,272,0.0326520728,0.0326945
20251218_134033_39,0.62,1,0.6,58,360,0.195227736,0.195234
20251218_134033_4,0.62,0.4,1.2,0,0,1.89247379,1.89269
20251218_134033_4,0.62,0.4,1.2,34,182,0.1128865462,0.112977
20251218_134033_4,0.62,0.4,1.2,37,267,0.127230696,0.127125
20251218_134033_4,0.62,0.4,1.2,37,355,3.41981782999999,3.41973
20251218_134033_4,0.62,0.4,1.2,42,78,2.99362618,2.99363
20251218_134033_4,0.62,0.4,1.2,53,97,0.926167518,0.926334
20251218_134033_4,0.62,0.4,1.2,57,179,0.0407162015,0.0405912
20251218_134033_4,0.62,0.4,1.2,58,272,0.0500503711,0.0498039
20251218_134033_4,0.62,0.4,1.2,58,360,3.21518156,3.2154
20251218_134033_40,0.62,0.8,0.6,0,0,0.206002791,0.206092
20251218_134033_40,0.62,0.8,0.6,34,182,0.0375930769,0.0376299
20251218_134033_40,0.62,0.8,0.6,37,267,0.0533422867,0.0530942
20251218_134033_40,0.62,0.8,0.6,37,355,0.24734379,0.24722
20251218_134033_40,0.62,0.8,0.6,42,78,0.171242297,0.171215
20251218_134033_40,0.62,0.8,0.6,53,97,0.0730128456,0.0728358
20251218_134033_40,0.62,0.8,0.6,57,179,0.02530885381,0.0254559
20251218_134033_40,0.62,0.8,0.6,58,272,0.0326902389,0.0326945
20251218_134033_40,0.62,0.8,0.6,58,360,0.195074094,0.194905
20251218_134033_41,0.82,0.6,0.6,0,0,0.206253831,0.206092
20251218_134033_41,0.82,0.6,0.6,34,182,0.0374114537,0.0376299
20251218_134033_41,0.82,0.6,0.6,37,267,0.0530672204,0.0530942
20251218_134033_41,0.82,0.6,0.6,37,355,0.24739612,0.24722
20251218_134033_41,0.82,0.6,0.6,42,78,0.171251181,0.171215
20251218_134033_41,0.82,0.6,0.6,53,97,0.0728127965,0.0728358
20251218_134033_41,0.82,0.6,0.6,57,179,0.025514495253,0.0254559
20251218_134033_41,0.82,0.6,0.6,58,272,0.03259547982,0.0326945
20251218_134033_41,0.82,0.6,0.6,58,360,0.195338284,0.195234
20251218_134033_42,-0.78,0.4,0.6,0,0,0.205942242,0.206092
20251218_134033_42,-0.78,0.4,0.6,34,182,0.03750786011,0.0376299
20251218_134033_42,-0.78,0.4,0.6,37,267,0.0532912883999999,0.0530942
20251218_134033_42,-0.78,0.4,0.6,37,355,0.246884498,0.246891
20251218_134033_42,-0.78,0.4,0.6,42,78,0.171043243,0.171215
20251218_134033_42,-0.78,0.4,0.6,53,97,0.0730691095,0.0728358
20251218_134033_42,-0.78,0.4,0.6,57,179,0.025789232193,0.025785
20251218_134033_42,-0.78,0.4,0.6,58,272,0.032445773973,0.0323655
20251218_134033_42,-0.78,0.4,0.6,58,360,0.195091523,0.195234
20251218_134033_43,0.82,0.4,0.6,0,0,0.205946536,0.205763
20251218_134033_43,0.82,0.4,0.6,34,182,0.0373986219,0.0376299
20251218_134033_43,0.82,0.4,0.6,37,267,0.0531218395,0.0530942
20251218_134033_43,0.82,0.4,0.6,37,355,0.247006891,0.246891
20251218_134033_43,0.82,0.4,0.6,42,78,0.171196562,0.171215
20251218_134033_43,0.82,0.4,0.6,53,97,0.0728684025,0.0728358
20251218_134033_43,0.82,0.4,0.6,57,179,0.02557174777,0.025785
20251218_134033_43,0.82,0.4,0.6,58,272,0.03257047275,0.0326945
20251218_134033_43,0.82,0.4,0.6,58,360,0.195287952,0.195234
20251218_134033_44,0.62,0.2,0.6,0,0,0.206269296,0.206092
20251218_134033_44,0.62,0.2,0.6,34,182,0.0377121852,0.0376299
20251218_134033_44,0.62,0.2,0.6,37,267,0.0532518047,0.0530942
20251218_134033_44,0.62,0.2,0.6,37,355,0.247175008,0.24722
20251218_134033_44,0.62,0.2,0.6,42,78,0.171255117,0.171215
20251218_134033_44,0.62,0.2,0.6,53,97,0.073280016,0.0728358
20251218_134033_44,0.62,0.2,0.6,57,179,0.025595436424,0.0254559
20251218_134033_44,0.62,0.2,0.6,58,272,0.03274617408,0.0326945
20251218_134033_44,0.62,0.2,0.6,58,360,0.195024404,0.194905
20251218_134033_45,-0.58,0.2,0.6,0,0,0.205709978,0.205763
20251218_134033_45,-0.58,0.2,0.6,34,182,0.0375374718,0.0376299
20251218_134033_45,-0.58,0.2,0.6,37,267,0.0532600303999999,0.0530942
20251218_134033_45,-0.58,0.2,0.6,37,355,0.247099333,0.246891
20251218_134033_45,-0.58,0.2,0.6,42,78,0.171281458,0.171215
20251218_134033_45,-0.58,0.2,0.6,53,97,0.0730931279,0.0728358
20251218_134033_45,-0.58,0.2,0.6,57,179,0.02591525195,0.025785
20251218_134033_45,-0.58,0.2,0.6,58,272,0.032588240743,0.0326945
20251218_134033_45,-0.58,0.2,0.6,58,360,0.195183652,0.194905
20251218_134033_46,-0.58,0,0.6,0,0,0.205789928,0.205763
20251218_134033_46,-0.58,0,0.6,34,182,0.0376493415,0.0376299
20251218_134033_46,-0.58,0,0.6,37,267,0.0530909093999999,0.0530942
20251218_134033_46,-0.58,0,0.6,37,355,0.247010503,0.246891
20251218_134033_46,-0.58,0,0.6,42,78,0.171269936,0.171215
20251218_134033_46,-0.58,0,0.6,53,97,0.0730825997,0.0728358
20251218_134033_46,-0.58,0,0.6,57,179,0.0257129007,0.025785
20251218_134033_46,-0.58,0,0.6,58,272,0.03251947305,0.0326945
20251218_134033_46,-0.58,0,0.6,58,360,0.194985256,0.194905
20251218_134033_47,-0.38,0,0.6,0,0,0.205755713,0.205434
20251218_134033_47,-0.38,0,0.6,34,182,0.0374124413,0.0376299
20251218_134033_47,-0.38,0,0.6,37,267,0.0531876439999999,0.0530942
